Test Case Id,FE_OR_BE,Tested-Item,Test Case Name,Description,CODE-PROVIDED
TCID-1,FE,home_page,Verify number of products displayed,,TRUE
TCID-67,FE,home_page,Verify the heading is displayed on the home page,,TRUE
TCID-68,FE,home_page,Verify header menu is displayed,,TRUE
TCID-12,FE,my_account_page_signed_out,User with none-existing email should get correct error message,,TRUE
TCID-13,FE,my_account_page_signed_out,Register valid new user,,TRUE
TCID-33,FE,end-to-end-fe,Checkout as guest user end-to-end,,TRUE
TCID-69,FE,component-banner,Verify the free shpping banner is displayed in the home page,,TRUE
TCID-70,FE,component-banner,Verify the free shpping banner is displayed in the cart page,,TRUE
TCID-71,FE,component-banner,Verify the free shpping banner is displayed in the checkout page,,TRUE
TCID-72,FE,component-banner,Verify the free shpping banner is NOT idsplayed in the my account page,,TRUE
TCID-80,FE,product_detail_page,Test variable product page verify product name,"Verify the product name is displayed
in the product description page for a variable product",TRUE
TCID-81,FE,product_detail_page,Test variable product page verify main image,"Verify the product main image is displayed
in the product description page for a variable product",TRUE
TCID-82,FE,product_detail_page,Test variable product page verify extra images,"Verify the product extra/thumbnail images are displayed
in the product description page for a variable product",TRUE
TCID-83,FE,product_detail_page,Test variable product page verify product type text,"Verify the ""product type"" text is displayed
in the product description page for a variable product",TRUE
TCID-84,FE,product_detail_page,Test variable product page verify price range before option selection,"For a variable product a price range must be displayed 
in the product description page. Verify the price range is displayed",TRUE
TCID-85,FE,product_detail_page,Test variable product page verify add to cart btn displayed,,TRUE
TCID-86,FE,product_detail_page,Test variable product page verify quantity field,,TRUE
TCID-87,FE,product_detail_page,Test variable product page verify sku,Verify the displayed sku matchs the product sku,TRUE
TCID-88,FE,product_detail_page,Test variable product page verify category,Verify the category field on the page,TRUE
TCID-89,FE,product_detail_page,Test variable product page verify description,Verify the description section on the page,TRUE
TCID-90,FE,product_detail_page,Test variable product page verify description header,Verify the header for the description section,TRUE
TCID-91,FE,product_detail_page,Test variable product page related items header,Verify the header for the related items section,TRUE
TCID-92,FE,product_detail_page,Test variable product page related items list,"Verify the related items section has list of related items.
Prodcuts api will have a list of related items use that to compare it to.",TRUE
